DATE,FEDFUNDS
1973.6.1,8.49
1973.7.1,10.4
1973.8.1,10.5
1973.9.1,10.78
1973.10.1,10.01
1973.11.1,10.03
1973.12.1,9.95
1974.1.1,9.65
1974.2.1,8.97
1974.3.1,9.35
1974.4.1,10.51
1974.5.1,11.31
1974.6.1,11.93
1974.7.1,12.92
1974.8.1,12.01
1974.9.1,11.34
1974.10.1,10.06
1974.11.1,9.45
1974.12.1,8.53
1975.1.1,7.13
1975.2.1,6.24
1975.3.1,5.54
1975.4.1,5.49
1975.5.1,5.22
1975.6.1,5.55
1975.7.1,6.1
1975.8.1,6.14
1975.9.1,6.24
1975.10.1,5.82
1975.11.1,5.22
1975.12.1,5.2
1976.1.1,4.87
1976.2.1,4.77
1976.3.1,4.84
1976.4.1,4.82
1976.5.1,5.29
1976.6.1,5.48
1976.7.1,5.31
1976.8.1,5.29
1976.9.1,5.25
1976.10.1,5.02
1976.11.1,4.95
1976.12.1,4.65
1977.1.1,4.61
1977.2.1,4.68
1977.3.1,4.69
1977.4.1,4.73
1977.5.1,5.35
1977.6.1,5.39
1977.7.1,5.42
1977.8.1,5.9
1977.9.1,6.14
1977.10.1,6.47
1977.11.1,6.51
1977.12.1,6.56
1978.1.1,6.7
1978.2.1,6.78
1978.3.1,6.79
1978.4.1,6.89
1978.5.1,7.36
1978.6.1,7.6
1978.7.1,7.81
1978.8.1,8.04
1978.9.1,8.45
1978.10.1,8.96
1978.11.1,9.76
1978.12.1,10.03
1979.1.1,10.07
1979.2.1,10.06
1979.3.1,10.09
1979.4.1,10.01
1979.5.1,10.24
1979.6.1,10.29
1979.7.1,10.47
1979.8.1,10.94
1979.9.1,11.43
1979.10.1,13.77
1979.11.1,13.18
1979.12.1,13.78
1980.1.1,13.82
1980.2.1,14.13
1980.3.1,17.19
1980.4.1,17.61
1980.5.1,10.98
1980.6.1,9.47
1980.7.1,9.03
1980.8.1,9.61
1980.9.1,10.87
1980.10.1,12.81
1980.11.1,15.85
1980.12.1,18.9
1981.1.1,19.08
1981.2.1,15.93
1981.3.1,14.7
1981.4.1,15.72
1981.5.1,18.52
1981.6.1,19.1
1981.7.1,19.04
1981.8.1,17.82
1981.9.1,15.87
1981.10.1,15.08
1981.11.1,13.31
1981.12.1,12.37
1982.1.1,13.22
1982.2.1,14.78
1982.3.1,14.68
1982.4.1,14.94
1982.5.1,14.45
1982.6.1,14.15
1982.7.1,12.59
1982.8.1,10.12
1982.9.1,10.31
1982.10.1,9.71
1982.11.1,9.2
1982.12.1,8.95
1983.1.1,8.68
1983.2.1,8.51
1983.3.1,8.77
1983.4.1,8.8
1983.5.1,8.63
1983.6.1,8.98
1983.7.1,9.37
1983.8.1,9.56
1983.9.1,9.45
1983.10.1,9.48
1983.11.1,9.34
1983.12.1,9.47
1984.1.1,9.56
1984.2.1,9.59
1984.3.1,9.91
1984.4.1,10.29
1984.5.1,10.32
1984.6.1,11.06
1984.7.1,11.23
1984.8.1,11.64
1984.9.1,11.3
1984.10.1,9.99
1984.11.1,9.43
1984.12.1,8.38
1985.1.1,8.35
1985.2.1,8.5
1985.3.1,8.58
1985.4.1,8.27
1985.5.1,7.97
1985.6.1,7.53
1985.7.1,7.88
1985.8.1,7.9
1985.9.1,7.92
1985.10.1,7.99
1985.11.1,8.05
1985.12.1,8.27
1986.1.1,8.14
1986.2.1,7.86
1986.3.1,7.48
1986.4.1,6.99
1986.5.1,6.85
1986.6.1,6.92
1986.7.1,6.56
1986.8.1,6.17
1986.9.1,5.89
1986.10.1,5.85
1986.11.1,6.04
1986.12.1,6.91
1987.1.1,6.43
1987.2.1,6.1
1987.3.1,6.13
1987.4.1,6.37
1987.5.1,6.85
1987.6.1,6.73
1987.7.1,6.58
1987.8.1,6.73
1987.9.1,7.22
1987.10.1,7.29
1987.11.1,6.69
1987.12.1,6.77
1988.1.1,6.83
1988.2.1,6.58
1988.3.1,6.58
1988.4.1,6.87
1988.5.1,7.09
1988.6.1,7.51
1988.7.1,7.75
1988.8.1,8.01
1988.9.1,8.19
1988.10.1,8.3
1988.11.1,8.35
1988.12.1,8.76
1989.1.1,9.12
1989.2.1,9.36
1989.3.1,9.85
1989.4.1,9.84
1989.5.1,9.81
1989.6.1,9.53
1989.7.1,9.24
1989.8.1,8.99
1989.9.1,9.02
1989.10.1,8.84
1989.11.1,8.55
1989.12.1,8.45
1990.1.1,8.23
1990.2.1,8.24
1990.3.1,8.28
1990.4.1,8.26
1990.5.1,8.18
1990.6.1,8.29
1990.7.1,8.15
1990.8.1,8.13
1990.9.1,8.2
1990.10.1,8.11
1990.11.1,7.81
1990.12.1,7.31
1991.1.1,6.91
1991.2.1,6.25
1991.3.1,6.12
1991.4.1,5.91
1991.5.1,5.78
1991.6.1,5.9
1991.7.1,5.82
1991.8.1,5.66
1991.9.1,5.45
1991.10.1,5.21
1991.11.1,4.81
1991.12.1,4.43
1992.1.1,4.03
1992.2.1,4.06
1992.3.1,3.98
1992.4.1,3.73
1992.5.1,3.82
1992.6.1,3.76
1992.7.1,3.25
1992.8.1,3.3
1992.9.1,3.22
1992.10.1,3.1
1992.11.1,3.09
1992.12.1,2.92
1993.1.1,3.02
1993.2.1,3.03
1993.3.1,3.07
1993.4.1,2.96
1993.5.1,3
1993.6.1,3.04
1993.7.1,3.06
1993.8.1,3.03
1993.9.1,3.09
1993.10.1,2.99
1993.11.1,3.02
1993.12.1,2.96
1994.1.1,3.05
1994.2.1,3.25
1994.3.1,3.34
1994.4.1,3.56
1994.5.1,4.01
1994.6.1,4.25
1994.7.1,4.26
1994.8.1,4.47
1994.9.1,4.73
1994.10.1,4.76
1994.11.1,5.29
1994.12.1,5.45
1995.1.1,5.53
1995.2.1,5.92
1995.3.1,5.98
1995.4.1,6.05
1995.5.1,6.01
1995.6.1,6
1995.7.1,5.85
1995.8.1,5.74
1995.9.1,5.8
1995.10.1,5.76
1995.11.1,5.8
1995.12.1,5.6
1996.1.1,5.56
1996.2.1,5.22
1996.3.1,5.31
1996.4.1,5.22
1996.5.1,5.24
1996.6.1,5.27
1996.7.1,5.4
1996.8.1,5.22
1996.9.1,5.3
1996.10.1,5.24
1996.11.1,5.31
1996.12.1,5.29
1997.1.1,5.25
1997.2.1,5.19
1997.3.1,5.39
1997.4.1,5.51
1997.5.1,5.5
1997.6.1,5.56
1997.7.1,5.52
1997.8.1,5.54
1997.9.1,5.54
1997.10.1,5.5
1997.11.1,5.52
1997.12.1,5.5
1998.1.1,5.56
1998.2.1,5.51
1998.3.1,5.49
1998.4.1,5.45
1998.5.1,5.49
1998.6.1,5.56
1998.7.1,5.54
1998.8.1,5.55
1998.9.1,5.51
1998.10.1,5.07
1998.11.1,4.83
1998.12.1,4.68
1999.1.1,4.63
1999.2.1,4.76
1999.3.1,4.81
1999.4.1,4.74
1999.5.1,4.74
1999.6.1,4.76
1999.7.1,4.99
1999.8.1,5.07
1999.9.1,5.22
1999.10.1,5.2
1999.11.1,5.42
1999.12.1,5.3
2000.1.1,5.45
2000.2.1,5.73
2000.3.1,5.85
2000.4.1,6.02
2000.5.1,6.27
2000.6.1,6.53
2000.7.1,6.54
2000.8.1,6.5
2000.9.1,6.52
2000.10.1,6.51
2000.11.1,6.51
2000.12.1,6.4
2001.1.1,5.98
2001.2.1,5.49
2001.3.1,5.31
2001.4.1,4.8
2001.5.1,4.21
2001.6.1,3.97
2001.7.1,3.77
2001.8.1,3.65
2001.9.1,3.07
2001.10.1,2.49
2001.11.1,2.09
2001.12.1,1.82
2002.1.1,1.73
2002.2.1,1.74
2002.3.1,1.73
2002.4.1,1.75
2002.5.1,1.75
2002.6.1,1.75
2002.7.1,1.73
2002.8.1,1.74
2002.9.1,1.75
2002.10.1,1.75
2002.11.1,1.34
2002.12.1,1.24
2003.1.1,1.24
2003.2.1,1.26
2003.3.1,1.25
2003.4.1,1.26
2003.5.1,1.26
2003.6.1,1.22
2003.7.1,1.01
2003.8.1,1.03
2003.9.1,1.01
2003.10.1,1.01
2003.11.1,1
2003.12.1,0.98
2004.1.1,1
2004.2.1,1.01
2004.3.1,1
2004.4.1,1
2004.5.1,1
2004.6.1,1.03
2004.7.1,1.26
2004.8.1,1.43
2004.9.1,1.61
2004.10.1,1.76
2004.11.1,1.93
2004.12.1,2.16
2005.1.1,2.28
2005.2.1,2.5
2005.3.1,2.63
2005.4.1,2.79
2005.5.1,3
2005.6.1,3.04
2005.7.1,3.26
2005.8.1,3.5
2005.9.1,3.62
2005.10.1,3.78
2005.11.1,4
2005.12.1,4.16
2006.1.1,4.29
2006.2.1,4.49
2006.3.1,4.59
2006.4.1,4.79
2006.5.1,4.94
2006.6.1,4.99
2006.7.1,5.24
2006.8.1,5.25
2006.9.1,5.25
2006.10.1,5.25
2006.11.1,5.25
2006.12.1,5.24
2007.1.1,5.25
2007.2.1,5.26
2007.3.1,5.26
2007.4.1,5.25
2007.5.1,5.25
2007.6.1,5.25
2007.7.1,5.26
2007.8.1,5.02
2007.9.1,4.94
2007.10.1,4.76
2007.11.1,4.49
2007.12.1,4.24
2008.1.1,3.94
2008.2.1,2.98
2008.3.1,2.61
2008.4.1,2.28
2008.5.1,1.98
2008.6.1,2
2008.7.1,2.01
2008.8.1,2
2008.9.1,1.81
2008.10.1,0.97
2008.11.1,0.39
2008.12.1,0.16
2009.1.1,0.15
2009.2.1,0.22
2009.3.1,0.18
2009.4.1,0.15
2009.5.1,0.18
2009.6.1,0.21
2009.7.1,0.16
2009.8.1,0.16
2009.9.1,0.15
2009.10.1,0.12
2009.11.1,0.12
2009.12.1,0.12
2010.1.1,0.11
2010.2.1,0.13
2010.3.1,0.16
2010.4.1,0.2
2010.5.1,0.2
2010.6.1,0.18
2010.7.1,0.18
2010.8.1,0.19
2010.9.1,0.19
2010.10.1,0.19
2010.11.1,0.19
2010.12.1,0.18
2011.1.1,0.17
2011.2.1,0.16
2011.3.1,0.14
2011.4.1,0.1
2011.5.1,0.09
2011.6.1,0.09
2011.7.1,0.07
2011.8.1,0.1
2011.9.1,0.08
2011.10.1,0.07
2011.11.1,0.08
2011.12.1,0.07
2012.1.1,0.08
2012.2.1,0.1
2012.3.1,0.13
2012.4.1,0.14
2012.5.1,0.16
2012.6.1,0.16
2012.7.1,0.16
2012.8.1,0.13
2012.9.1,0.14
2012.10.1,0.16
2012.11.1,0.16
2012.12.1,0.16
2013.1.1,0.14
2013.2.1,0.15
2013.3.1,0.14
2013.4.1,0.15
2013.5.1,0.11
2013.6.1,0.09
2013.7.1,0.09
2013.8.1,0.08
2013.9.1,0.08
2013.10.1,0.09
2013.11.1,0.08
2013.12.1,0.09
2014.1.1,0.07
2014.2.1,0.07
2014.3.1,0.08
2014.4.1,0.09
2014.5.1,0.09
2014.6.1,0.1
2014.7.1,0.09
2014.8.1,0.09
2014.9.1,0.09
2014.10.1,0.09
2014.11.1,0.09
2014.12.1,0.12
2015.1.1,0.11
2015.2.1,0.11
2015.3.1,0.11
2015.4.1,0.12
2015.5.1,0.12
2015.6.1,0.13
2015.7.1,0.13
2015.8.1,0.14
2015.9.1,0.14
2015.10.1,0.12
2015.11.1,0.12
2015.12.1,0.24
2016.1.1,0.34
2016.2.1,0.38
2016.3.1,0.36
2016.4.1,0.37
2016.5.1,0.37
2016.6.1,0.38
2016.7.1,0.39
2016.8.1,0.4
2016.9.1,0.4
2016.10.1,0.4
2016.11.1,0.41
2016.12.1,0.54
2017.1.1,0.65
2017.2.1,0.66
2017.3.1,0.79
2017.4.1,0.9
2017.5.1,0.91
2017.6.1,1.04
2017.7.1,1.15
2017.8.1,1.16
2017.9.1,1.15
2017.10.1,1.15
2017.11.1,1.16
2017.12.1,1.3
2018.1.1,1.41
2018.2.1,1.42
2018.3.1,1.51
2018.4.1,1.69
2018.5.1,1.7
2018.6.1,1.82
2018.7.1,1.91
2018.8.1,1.91
2018.9.1,1.95
2018.10.1,2.19
2018.11.1,2.2
2018.12.1,2.27
2019.1.1,2.4
2019.2.1,2.4
2019.3.1,2.41
2019.4.1,2.42
2019.5.1,2.39
2019.6.1,2.38
2019.7.1,2.4
2019.8.1,2.13
2019.9.1,2.04
2019.10.1,1.83
2019.11.1,1.55
2019.12.1,1.55
2020.1.1,1.55
2020.2.1,1.58
2020.3.1,0.65
2020.4.1,0.05
2020.5.1,0.05
2020.6.1,0.08
2020.7.1,0.09
2020.8.1,0.1
2020.9.1,0.09
2020.10.1,0.09
2020.11.1,0.09
2020.12.1,0.09
2021.1.1,0.09
2021.2.1,0.08
2021.3.1,0.07
2021.4.1,0.07
2021.5.1,0.06
2021.6.1,0.08
2021.7.1,0.1
2021.8.1,0.09
2021.9.1,0.08
2021.10.1,0.08
2021.11.1,0.08
2021.12.1,0.08
2022.1.1,0.08
2022.2.1,0.08
2022.3.1,0.2
2022.4.1,0.33
2022.5.1,0.77
2022.6.1,1.21
2022.7.1,1.68
2022.8.1,2.33
2022.9.1,2.56
2022.10.1,3.08
2022.11.1,3.78
